ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction,implied_vol
SPY,2026-03-19,685.0,0.53,0.56,0.545,0.53,2772.0,2261.0,662.2899780273438,0.0082191780821917,0.9668466832515968,-0.033715344959852,0.0906596827823244,0.0079466850678212,0.25834967687279
SPY,2026-03-19,686.0,0.43,0.45,0.44,0.49,1542.0,1081.0,662.2899780273438,0.0082191780821917,0.9654372857541454,-0.0351741344235119,0.0906596827823244,0.0079351009788011,0.25402041415190696
SPY,2026-03-19,687.0,0.34,0.37,0.355,0.34,3161.0,1014.0,662.2899780273438,0.0082191780821917,0.9640319913061772,-0.036630798919976,0.0906596827823244,0.0079235506134753,0.25034882886224985
SPY,2026-03-19,688.0,0.27,0.29,0.28,0.29,3932.0,1090.0,662.2899780273438,0.0082191780821917,0.962630782016488,-0.0380853446309704,0.0906596827823244,0.0079120338247929,0.24616762402963638
SPY,2026-03-19,689.0,0.21,0.23,0.22,0.24,1675.0,1210.0,662.2899780273438,0.0082191780821917,0.9612336400977411,-0.0395377777112853,0.0906596827823244,0.0079005504665567,0.2424726141223908
SPY,2026-03-19,690.0,0.17,0.19,0.18,0.18,2248.0,3027.0,662.2899780273438,0.0082191780821917,0.9598405478657156,-0.0409881042889318,0.0906596827823244,0.0078891003934167,0.24102922852563863
SPY,2026-03-19,691.0,0.13,0.15,0.14,0.14,607.0,875.0,662.2899780273438,0.0082191780821917,0.9584514877385584,-0.0424363304652966,0.0906596827823244,0.0078776834608647,0.23788854163002965
SPY,2026-03-19,692.0,0.1,0.12,0.11,0.11,980.0,1479.0,662.2899780273438,0.0082191780821917,0.957066442236046,-0.0438824623152963,0.0906596827823244,0.0078662995252276,0.2355947172451019
SPY,2026-03-19,693.0,0.08,0.1,0.09,0.08,1494.0,2535.0,662.2899780273438,0.0082191780821917,0.955685393978851,-0.04532650588753,0.0906596827823244,0.0078549484436617,0.23504182474446295
SPY,2026-03-19,694.0,0.07,0.08,0.075,0.07,1052.0,5301.0,662.2899780273438,0.0082191780821917,0.9543083256878152,-0.0467684672044312,0.0906596827823244,0.0078436300741463,0.23525425562763214
SPY,2026-03-19,695.0,0.05,0.07,0.06,0.06,1930.0,3483.0,662.2899780273438,0.0082191780821917,0.9529352201832284,-0.0482083522624189,0.0906596827823244,0.0078323442754785,0.23428150814914706
SPY,2026-03-19,696.0,0.04,0.06,0.05,0.06,302.0,1369.0,662.2899780273438,0.0082191780821917,0.9515660603841146,-0.0496461670320463,0.0906596827823244,0.0078210909072666,0.23471924451446535
SPY,2026-03-19,698.0,0.03,0.04,0.035,0.05,211.0,1366.0,662.2899780273438,0.0082191780821917,0.9488395100678276,-0.0525156094599992,0.0906596827823244,0.007798680904667,0.23601671798944474
SPY,2026-03-19,700.0,0.02,0.03,0.025,0.04,311.0,4653.0,662.2899780273438,0.0082191780821917,0.9461285400390624,-0.0553768417410313,0.0906596827823244,0.007776398959225,0.23803230798530578
SPY,2026-03-20,255.0,410.07,413.38,411.725,355.14,,22.0,662.2899780273438,0.010958904109589,2.5972156001072304,0.9544399481439472,0.1046847845180425,0.0284626367135037,3.0
