ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity
SPY,2026-03-20,590.0,72.06,72.56,72.31,72.55,22.0,3257.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,595.0,67.08,67.62,67.35,67.52,8.0,4352.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,600.0,62.16,62.67,62.415,63.0,33.0,5087.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,605.0,57.23,57.75,57.489999999999995,59.65,2.0,1494.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,610.0,52.33,52.85,52.59,53.05,33.0,3194.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,611.0,50.18,52.98,51.58,51.82,2.0,3.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,612.0,49.21,52.01,50.61,66.81,,8.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,613.0,48.24,51.04,49.64,71.57,1.0,3.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,615.0,47.46,47.99,47.725,48.43,13.0,1933.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,616.0,45.33,48.13,46.73,53.76,32.0,37.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,617.0,44.37,47.17,45.77,70.64,,3.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,618.0,43.41,46.2,44.805,47.5,1.0,10.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,620.0,42.62,43.18,42.9,43.39,289.0,8391.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,623.0,38.65,41.44,40.045,50.39,1.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,624.0,37.71,40.51,39.11,64.93,2.0,2.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,625.0,37.89,38.46,38.175,38.55,198.0,3802.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,626.0,36.95,37.52,37.235,39.67,4.0,4.0,662.2899780273438,0.010958904109589041
SPY,2026-03-20,627.0,36.03,36.6,36.315,51.8,2.0,4.0,662.2899780273438,0.010958904109589041
