ticker,expiry,strike,bid,ask,mid,lastPrice,volume,openInterest,spot,time_to_maturity,moneyness,log_moneyness,sqrt_T,moneyness_T_interaction
SPY,2026-03-19,681.0,1.13,1.17,1.15,1.15,1599.0,1139.0,662.2899780273438,0.0082191780821917,0.9725256652383902,-0.027858812847139126,0.09065968278232447,0.007993361632096279
SPY,2026-03-19,682.0,0.95,0.98,0.965,0.98,1765.0,1178.0,662.2899780273438,0.0082191780821917,0.9710996745268969,-0.02932616454108892,0.09065968278232447,0.007981641160494966
SPY,2026-03-19,683.0,0.79,0.82,0.8049999999999999,0.84,1487.0,716.0,662.2899780273438,0.0082191780821917,0.9696778594836658,-0.030791366268416834,0.09065968278232447,0.007969955009454709
SPY,2026-03-19,684.0,0.65,0.68,0.665,0.66,1455.0,1472.0,662.2899780273438,0.0082191780821917,0.9682602017943622,-0.0322544243201772,0.09065968278232447,0.007958303028446734
SPY,2026-03-19,685.0,0.53,0.56,0.545,0.53,2772.0,2261.0,662.2899780273438,0.0082191780821917,0.9668466832515967,-0.03371534495985204,0.09065968278232447,0.007946685067821264
SPY,2026-03-19,686.0,0.43,0.45,0.44,0.49,1542.0,1081.0,662.2899780273438,0.0082191780821917,0.9654372857541454,-0.035174134423511944,0.09065968278232447,0.007935100978801117
SPY,2026-03-19,687.0,0.34,0.37,0.355,0.34,3161.0,1014.0,662.2899780273438,0.0082191780821917,0.9640319913061772,-0.036630798919976094,0.09065968278232447,0.007923550613475352
SPY,2026-03-19,688.0,0.27,0.29,0.28,0.29,3932.0,1090.0,662.2899780273438,0.0082191780821917,0.962630782016488,-0.038085344630970436,0.09065968278232447,0.007912033824792974
SPY,2026-03-19,689.0,0.21,0.23,0.22,0.24,1675.0,1210.0,662.2899780273438,0.0082191780821917,0.9612336400977413,-0.03953777771128537,0.09065968278232447,0.0079005504665567
SPY,2026-03-19,690.0,0.17,0.19,0.18,0.18,2248.0,3027.0,662.2899780273438,0.0082191780821917,0.9598405478657156,-0.040988104288931806,0.09065968278232447,0.007889100393416764
SPY,2026-03-19,691.0,0.13,0.15,0.14,0.14,607.0,875.0,662.2899780273438,0.0082191780821917,0.9584514877385583,-0.04243633046529664,0.09065968278232447,0.007877683460864785
SPY,2026-03-19,692.0,0.1,0.12,0.11,0.11,980.0,1479.0,662.2899780273438,0.0082191780821917,0.9570664422360459,-0.04388246231529634,0.09065968278232447,0.007866299525227697
