contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,dte,spot,mid,moneyness,T
SPY260116C00745000,2026-01-02 21:08:14+00:00,745.0,0.02,0.01,0.02,0.0,0.0,329.0,10354,0.16602396484375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.9170066884700084,0.03287671232876712
SPY260116C00750000,2026-01-02 20:22:21+00:00,750.0,0.01,0.01,0.02,-0.02,-66.66667,425.0,21815,0.17774259765625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.910893310546875,0.03287671232876712
SPY260116C00755000,2025-12-31 18:52:21+00:00,755.0,0.02,0.01,0.02,-0.01,-33.333336,6.0,5261,0.18946123046875,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.9048609045167633,0.03287671232876712
SPY260116C00760000,2026-01-02 14:57:11+00:00,760.0,0.02,0.01,0.02,0.0,0.0,36.0,4689,0.2011798632812499,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.8989078722502056,0.03287671232876712
SPY260116C00765000,2026-01-02 14:57:47+00:00,765.0,0.01,0.01,0.02,0.0,0.0,4.0,5747,0.2109453906249999,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.893032657398897,0.03287671232876712
SPY260116C00770000,2025-12-31 17:15:20+00:00,770.0,0.02,0.01,0.02,0.0,0.0,72.0,13121,0.2226640234374999,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.887233744039164,0.03287671232876712
SPY260116C00775000,2026-01-02 16:50:30+00:00,775.0,0.01,0.01,0.02,0.0,0.0,263.0,3243,0.23438265625,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.8815096553679436,0.03287671232876712
SPY260116C00780000,2026-01-02 15:41:34+00:00,780.0,0.02,0.01,0.02,0.0,0.0,7.0,4190,0.24414818359375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.8758589524489183,0.03287671232876712
SPY260116C00785000,2026-01-02 17:00:15+00:00,785.0,0.02,0.01,0.02,0.01,100.0,4.0,1274,0.2539137109375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.8702802330065684,0.03287671232876712
SPY260116C00790000,2025-12-29 20:47:17+00:00,790.0,0.01,0.01,0.02,0.0,0.0,2.0,5442,0.26563234375,False,REGULAR,USD,2026-01-16,12,683.1699829101562,0.015,0.8647721302660206,0.03287671232876712
